#t	<mx>	<my>	<mz>	Dt
3.753407e-09	-0.4979511674187276	-0.020787706411473747	0.8669558847648918	2.869606727728218e-11
3.782103e-09	-0.4220936854385406	-0.25672173427146733	0.8694428514086252	2.8691829192837433e-11
3.810795e-09	-0.24320911230435996	-0.42504570170649425	0.8718861618083861	2.8688322957802077e-11
3.839483e-09	-0.007352556291680624	-0.4853545119619235	0.874286530626076	2.8685555986940305e-11
3.868169e-09	0.226172848687215	-0.4246645459203675	0.8766446634497687	2.868353485951352e-11
3.896852e-09	0.3997052102878414	-0.26012084517823775	0.878961256695943	2.8682265351188502e-11
3.925535e-09	0.4714345187296157	-0.03421766699191537	0.8812369975300662	2.8681752467063825e-11
3.954216e-09	0.4254423640264307	0.1961505133725508	0.8834725638044945	2.8682000475559653e-11
3.982898e-09	0.2751708270326491	0.3739947919285102	0.8856686240126824	2.8683012942293883e-11
4.011581e-09	0.05958336810625911	0.4563059334931994	0.8878258372586448	2.8684792764382484e-11
4.040266e-09	-0.1669056036749757	0.4244298265346987	0.8899448532407036	2.86873422044938e-11
4.068954e-09	-0.34813934288358866	0.28824998905962346	0.8920263122485289	2.8690662924375618e-11
4.097644e-09	-0.440120848221904	0.0832524040069293	0.8940708451725169	2.869475601838501e-11
4.126339e-09	-0.42167483911889797	-0.13868173652397126	0.8960790735246233	2.8699622046270645e-11
4.155039e-09	-0.2992925774005577	-0.32237751137711446	0.8980516094697618	2.8705261064831742e-11
4.183744e-09	-0.10505973326374199	-0.42306282248191446	0.8999890558668963	2.8711672659585806e-11
4.212456e-09	0.11170803505277227	-0.4172674488171776	0.9018920063190785	2.871885597466932e-11
4.241174e-09	0.2969538366253454	-0.3082764863484899	0.9037610452316016	2.8726809742467618e-11
4.269901e-09	0.40533993120533834	-0.12487622033031863	0.9055967478775888	2.8735532312059972e-11
4.298637e-09	0.4113351701528797	0.0861927936528282	0.907399680470311	2.8745021676247802e-11
4.327382e-09	0.3152217917091036	0.272111016602252	0.909170400241556	2.875527549800887e-11
4.356137e-09	0.14261067139459713	0.38717716905659183	0.9109094555254685	2.8766291136003375e-11
4.384903e-09	-0.062318345557496116	0.4040370414408161	0.912617385847283	2.877806566816612e-11
4.413681e-09	-0.24808271100261012	0.32018764778582187	0.9142947220163627	2.879059591501653e-11
4.442472e-09	-0.36880864146370246	0.15821018884831678	0.9159419862230785	2.8803878461710695e-11
4.471276e-09	-0.3955567824580839	-0.04023733605876981	0.9175596921390462	2.8817909678763264e-11
4.500094e-09	-0.3232677922511694	-0.22508721496248799	0.9191483450202615	2.883268574213722e-11
4.528926e-09	-0.17165892076016243	-0.35046994178989327	0.9207084418127408	2.884820265167772e-11
4.557775e-09	0.02007050014465895	-0.386095439229211	0.9222404712602598	2.886445624938861e-11
4.586639e-09	0.20332225140784504	-0.3245849594727908	0.9237449140138699	2.8881442235990693e-11
4.615521e-09	0.33239105883801173	-0.18297536866602346	0.9252222427428333	2.889915618694377e-11
4.644420e-09	0.37586388834008116	0.0019059424581734912	0.9266729222466907	2.8917593567478566e-11
4.673337e-09	0.3242845330158197	0.1829610341016413	0.928097409568182	2.8936749746713465e-11
