#t	<mx>	<my>	<mz>	u_x	u_y	u_z
5.901000e-07	1	0	0	0.002582546418299297	0.0037258848114655706	0.4060634428198176
5.951000e-07	1	0	0	0.003196907006928706	0.0029515386479411617	0.402468508394266
6.001000e-07	1	0	0	0.0030751004645221476	0.002754055076550006	0.399761686412916
6.051000e-07	1	0	0	0.003133663599779633	0.0013903923459757943	0.3966227363800366
6.101000e-07	1	0	0	0.0023544888272217486	0.0005833343206087756	0.394023437218809
6.151000e-07	1	0	0	0.0013150286292275169	0.0003872863787677886	0.3900143472304531
6.201000e-07	1	0	0	0.0003568663633466615	0.0010275282901594384	0.3876588713719093
6.251000e-07	1	0	0	-6.10401442160692e-05	0.0014440248878080967	0.38439329080100887
6.301000e-07	1	0	0	0.000920371984500388	0.00018890609812351734	0.3809949288371175
6.351000e-07	1	0	0	0.0021050141659237744	0.001588945649456815	0.37824688446132904
6.401000e-07	1	0	0	0.0023033936743301264	0.002083809555679632	0.3754875857544385
6.451000e-07	1	0	0	0.0023099981260840782	0.0015983748986596001	0.37287066006771896
6.501000e-07	1	0	0	0.0021091168259882486	0.0019437269716929251	0.36977200570025043
6.551000e-07	1	0	0	0.0017295876456405047	0.0017700234329463484	0.3677723521767532
6.601000e-07	1	0	0	0.001793402609146995	0.0012980524976603086	0.3643923035093373
6.651000e-07	1	0	0	0.0010955441241020745	0.0008602469793958222	0.3616757381753009
6.701000e-07	1	0	0	0.0016039967050789851	0.0003397228111066513	0.3589060862160464
6.751000e-07	1	0	0	0.0018647323182421115	2.776388144863123e-05	0.35562455821934685
6.801000e-07	1	0	0	0.002099946025832953	0.0006536437069966379	0.3529789511990756
6.851000e-07	1	0	0	0.0027667705400399	0.00037325169403268447	0.3496637449244929
6.901000e-07	1	0	0	0.0012861792038179809	0.0011605055537522182	0.34750757961942935
6.951000e-07	1	0	0	0.0012068011662066057	0.001450880775515267	0.34468776221506564
7.001000e-07	1	0	0	0.0003920912235111713	0.0013581708396410844	0.3406496192987438
7.051000e-07	1	0	0	0.00045244319144904885	0.0019378388078487225	0.3381574726830461
7.101000e-07	1	0	0	0.0007603992338237131	0.0017005339828881343	0.3361076255533362
7.151000e-07	1	0	0	0.0016602802057385292	0.0032474136870422336	0.3349817056790181
